time,activity,city,end
2012-01-11T21:00:00,Clear,San Francisco,2012-01-11T22:00:00
2012-01-12T00:00:00,Clear,San Francisco,2012-01-12T01:00:00
2012-01-12T03:00:00,Clear,San Francisco,2012-01-12T04:00:00
2012-01-12T06:00:00,Clear,San Francisco,2012-01-12T07:00:00
2012-01-12T09:00:00,Sunny,San Francisco,2012-01-12T10:00:00
2012-01-12T12:00:00,Sunny,San Francisco,2012-01-12T13:00:00
2012-01-12T15:00:00,Sunny,San Francisco,2012-01-12T16:00:00
2012-01-12T18:00:00,Clear,San Francisco,2012-01-12T19:00:00
2012-01-12T21:00:00,Clear,San Francisco,2012-01-12T22:00:00
2012-01-13T00:00:00,Clear,San Francisco,2012-01-13T01:00:00
2012-01-13T03:00:00,Clear,San Francisco,2012-01-13T04:00:00
2012-01-13T06:00:00,Clear,San Francisco,2012-01-13T07:00:00
2012-01-13T09:00:00,Sunny,San Francisco,2012-01-13T10:00:00
2012-01-13T12:00:00,Sunny,San Francisco,2012-01-13T13:00:00
2012-01-13T15:00:00,Sunny,San Francisco,2012-01-13T16:00:00
2012-01-13T18:00:00,Clear,San Francisco,2012-01-13T19:00:00
2012-01-13T21:00:00,Clear,San Francisco,2012-01-13T22:00:00
2012-01-14T00:00:00,Clear,San Francisco,2012-01-14T01:00:00
2012-01-14T03:00:00,Clear,San Francisco,2012-01-14T04:00:00
2012-01-14T06:00:00,Clear,San Francisco,2012-01-14T07:00:00
2012-01-14T09:00:00,Sunny,San Francisco,2012-01-14T10:00:00
2012-01-14T12:00:00,Sunny,San Francisco,2012-01-14T13:00:00
2012-01-14T15:00:00,Sunny,San Francisco,2012-01-14T16:00:00
2012-01-14T18:00:00,Clear,San Francisco,2012-01-14T19:00:00
2012-01-14T21:00:00,Partly cloudy,San Francisco,2012-01-14T22:00:00
2012-01-15T00:00:00,Clear,San Francisco,2012-01-15T01:00:00
2012-01-15T03:00:00,Mist,San Francisco,2012-01-15T04:00:00
2012-01-15T06:00:00,Fog,San Francisco,2012-01-15T07:00:00
2012-01-15T09:00:00,Partly cloudy,San Francisco,2012-01-15T10:00:00
2012-01-15T12:00:00,Cloudy,San Francisco,2012-01-15T13:00:00
2012-01-15T15:00:00,Overcast,San Francisco,2012-01-15T16:00:00
2012-01-15T18:00:00,Clear,San Francisco,2012-01-15T19:00:00
2012-01-15T21:00:00,Clear,San Francisco,2012-01-15T22:00:00
2012-01-16T00:00:00,Clear,San Francisco,2012-01-16T01:00:00
2012-01-16T03:00:00,Clear,San Francisco,2012-01-16T04:00:00
2012-01-16T06:00:00,Clear,San Francisco,2012-01-16T07:00:00
2012-01-16T09:00:00,Sunny,San Francisco,2012-01-16T10:00:00
2012-01-16T12:00:00,Sunny,San Francisco,2012-01-16T13:00:00
2012-01-16T15:00:00,Sunny,San Francisco,2012-01-16T16:00:00
2012-01-16T18:00:00,Clear,San Francisco,2012-01-16T19:00:00
2012-01-16T21:00:00,Clear,San Francisco,2012-01-16T22:00:00
2012-01-17T00:00:00,Clear,San Francisco,2012-01-17T01:00:00
2012-01-17T03:00:00,Clear,San Francisco,2012-01-17T04:00:00
2012-01-17T06:00:00,Clear,San Francisco,2012-01-17T07:00:00
2012-01-17T09:00:00,Sunny,San Francisco,2012-01-17T10:00:00
2012-01-17T12:00:00,Sunny,San Francisco,2012-01-17T13:00:00
2012-01-17T15:00:00,Sunny,San Francisco,2012-01-17T16:00:00
2012-01-17T18:00:00,Clear,San Francisco,2012-01-17T19:00:00
2012-01-17T21:00:00,Clear,San Francisco,2012-01-17T22:00:00
2012-01-18T00:00:00,Clear,San Francisco,2012-01-18T01:00:00
2012-01-18T03:00:00,Clear,San Francisco,2012-01-18T04:00:00
2012-01-18T06:00:00,Clear,San Francisco,2012-01-18T07:00:00
2012-01-18T09:00:00,Partly cloudy,San Francisco,2012-01-18T10:00:00
2012-01-18T12:00:00,Sunny,San Francisco,2012-01-18T13:00:00
2012-01-18T15:00:00,Sunny,San Francisco,2012-01-18T16:00:00
2012-01-18T18:00:00,Clear,San Francisco,2012-01-18T19:00:00
2012-01-18T21:00:00,Clear,San Francisco,2012-01-18T22:00:00
2012-01-19T00:00:00,Clear,San Francisco,2012-01-19T01:00:00
2012-01-19T03:00:00,Clear,San Francisco,2012-01-19T04:00:00
2012-01-19T06:00:00,Partly cloudy,San Francisco,2012-01-19T07:00:00
2012-01-19T09:00:00,Sunny,San Francisco,2012-01-19T10:00:00
2012-01-19T12:00:00,Partly cloudy,San Francisco,2012-01-19T13:00:00
2012-01-19T15:00:00,Partly cloudy,San Francisco,2012-01-19T16:00:00
2012-01-19T18:00:00,Light rain,San Francisco,2012-01-19T19:00:00
2012-01-19T21:00:00,Heavy rain,San Francisco,2012-01-19T22:00:00
2012-01-20T00:00:00,Heavy rain,San Francisco,2012-01-20T01:00:00
2012-01-20T03:00:00,Light rain,San Francisco,2012-01-20T04:00:00
2012-01-20T06:00:00,Light rain shower,San Francisco,2012-01-20T07:00:00
2012-01-20T09:00:00,Light drizzle,San Francisco,2012-01-20T10:00:00
2012-01-20T12:00:00,Light drizzle,San Francisco,2012-01-20T13:00:00
2012-01-20T15:00:00,Light rain,San Francisco,2012-01-20T16:00:00
2012-01-20T18:00:00,Light rain,San Francisco,2012-01-20T19:00:00
2012-01-20T21:00:00,Moderate rain,San Francisco,2012-01-20T22:00:00
2012-01-21T00:00:00,Moderate or heavy rain with thunder,San Francisco,2012-01-21T01:00:00
2012-01-21T03:00:00,Moderate or heavy rain shower,San Francisco,2012-01-21T04:00:00
2012-01-21T06:00:00,Light rain shower,San Francisco,2012-01-21T07:00:00
2012-01-21T09:00:00,Patchy rain possible,San Francisco,2012-01-21T10:00:00
2012-01-21T12:00:00,Overcast,San Francisco,2012-01-21T13:00:00
2012-01-21T15:00:00,Sunny,San Francisco,2012-01-21T16:00:00
2012-01-21T18:00:00,Clear,San Francisco,2012-01-21T19:00:00
2012-01-21T21:00:00,Clear,San Francisco,2012-01-21T22:00:00
2012-01-22T00:00:00,Partly cloudy,San Francisco,2012-01-22T01:00:00
